statement_type,item_code,item_name,original_column_name,is_summary_marker,indent_level,non_missing_count,non_missing_rate,sample_min,sample_p1,sample_median,sample_p99,sample_max,unit_inferred,candidate_role_hint
손익계산서,U01B450013000,"종속기업, 공동지배기업 및 관계기업(지분법) 관련 이익(IFRS)(천원)      종속기업, 공동지배기업 및 관계기업(지분법) 관련 이익(IFRS)(천원)(IFRS)(천원)","[[U01B450013000]   종속기업, 공동지배기업 및 관계기업(지분법) 관련 이익(IFRS)(천원)][U01B450013000]   종속기업, 공동지배기업 및 관계기업(지분법) 관련 이익(IFRS)(천원)(IFRS)(천원)",False,0,4400,0.9392,0.0,0.0,0.0,28225730.000000082,443396000.0,천원,
손익계산서,U01B450013100,법인세환급액(IFRS)(천원)      법인세환급액(IFRS)(천원)(IFRS)(천원),[[U01B450013100]   법인세환급액(IFRS)(천원)][U01B450013100]   법인세환급액(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,0.0,6367.0,천원,
손익계산서,U01B450013200,채무면제이익(IFRS)(천원)      채무면제이익(IFRS)(천원)(IFRS)(천원),[[U01B450013200]   채무면제이익(IFRS)(천원)][U01B450013200]   채무면제이익(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,189399.19000000163,48638000.0,천원,
손익계산서,U01B450013300,수수료수익(IFRS)(천원)      수수료수익(IFRS)(천원)(IFRS)(천원),[[U01B450013300]   수수료수익(IFRS)(천원)][U01B450013300]   수수료수익(IFRS)(천원)(IFRS)(천원),False,0,4399,0.939,0.0,0.0,0.0,7285994.259999919,636171000.0,천원,
손익계산서,U01B450013400,임대료(IFRS)(천원)      임대료(IFRS)(천원)(IFRS)(천원),[[U01B450013400]   임대료(IFRS)(천원)][U01B450013400]   임대료(IFRS)(천원)(IFRS)(천원),False,0,4399,0.939,0.0,0.0,0.0,3622001.9599999595,24519377.0,천원,
손익계산서,U01B450013500,금융부채관련이익(IFRS)(천원)      금융부채관련이익(IFRS)(천원)(IFRS)(천원),[[U01B450013500]   금융부채관련이익(IFRS)(천원)][U01B450013500]   금융부채관련이익(IFRS)(천원)(IFRS)(천원),False,0,3893,0.8309,0.0,0.0,0.0,79421.39999999908,6208831.0,천원,
손익계산서,U01B450013600,사채상환이익(IFRS)(천원)      사채상환이익(IFRS)(천원)(IFRS)(천원),[[U01B450013600]   사채상환이익(IFRS)(천원)][U01B450013600]   사채상환이익(IFRS)(천원)(IFRS)(천원),False,0,3893,0.8309,0.0,0.0,0.0,0.0,3716354.0,천원,
손익계산서,U01B450013700,당기손익-공정가치측정 금융자산평가이익(IFRS)(천원)      당기손익-공정가치측정 금융자산평가이익(IFRS)(천원)(IFRS)(천원),[[U01B450013700]   당기손익-공정가치측정 금융자산평가이익(IFRS)(천원)][U01B450013700]   당기손익-공정가치측정 금융자산평가이익(IFRS)(천원)(IFRS)(천원),False,0,2992,0.6386,0.0,0.0,0.0,1981712.2300000235,55662000.0,천원,
손익계산서,U01B450014000,보험차익(IFRS)(천원)      보험차익(IFRS)(천원)(IFRS)(천원),[[U01B450014000]   보험차익(IFRS)(천원)][U01B450014000]   보험차익(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,43018.0900000004,13297000.0,천원,
손익계산서,U01B450014200,전기오류수정이익(IFRS)(천원)      전기오류수정이익(IFRS)(천원)(IFRS)(천원),[[U01B450014200]   전기오류수정이익(IFRS)(천원)][U01B450014200]   전기오류수정이익(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,0.0,750596.0,천원,
