ratio_id,ratio_name_ko,category,required_items,all_items_found,missing_items,ambiguous_items,available_firm_year_count,available_firm_year_rate,eligible_for_direct_calculation,fallback_possible,fallback_source,decision,availability_status,requires_lag,requires_average_denominator,requires_growth_base,priority
R019,영업현금흐름/총자산,수익성,U01D100000000|U01A100000000,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,True,False,확장
R021,영업이익/자기자본,수익성,U01A600000000|U01B430000000,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,True,False,확장
R022,당기순이익/자기자본(ROE),수익성,U01B840000000|U01A600000000,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,True,False,확장
R023,총포괄이익/자기자본,수익성,U01A600000000|U01B900000000,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,True,False,확장
R031,현금이익전환율,수익성,U01D100000000|U01B840000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R032,영업현금흐름/영업이익,수익성,U01D100000000|U01B430000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R033,EBITDA 대비 OCF,수익성,U01B350014100|U01D100000000|U01B430000000|U01B350014300,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R043,부채비율,안정성,U01A800000000|U01A600000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,핵심
R044,총부채/총자산,안정성,U01A800000000|U01A100000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R045,자기자본비율,안정성,U01A600000000|U01A100000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,핵심
R046,차입금의존도,안정성,U01A811027400|U01A811012800|U01A811026700|U01A811000000|U01A100000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,핵심
R047,순차입금의존도,안정성,U01A111050000|U01A811027400|U01A811012800|U01A811026700|U01A811000000|U01A100000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R048,유이자부채/총자산,안정성,U01A811012800|U01A811026700|U01A100000000|U01A811000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R049,금융부채/총부채,안정성,U01A800000000|U01A811012800|U01A811026700|U01A811000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R050,총차입금/자기자본,안정성,U01A811027400|U01A811012800|U01A811026700|U01A600000000|U01A811000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R051,순차입금/자기자본,안정성,U01A111050000|U01A811027400|U01A811012800|U01A811026700|U01A600000000|U01A811000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R052,유이자부채/자기자본,안정성,U01A811012800|U01A811026700|U01A600000000|U01A811000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R053,유동부채비율,안정성,U01A600000000|U01A811026000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R054,비유동부채비율,안정성,U01A810000000|U01A600000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R055,유동부채/총부채,안정성,U01A800000000|U01A811026000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R056,비유동부채/총부채,안정성,U01A810000000|U01A800000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R057,단기차입금비중,안정성,U01A811012800|U01A811026700|U01A811000000|U01A811027400,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R058,장기차입금비중,안정성,U01A811012800|U01A811026700|U01A811000000|U01A811027400,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R059,단기금융부채/총자산,안정성,U01A811026700|U01A100000000|U01A811027400,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R060,장기금융부채/총자산,안정성,U01A811012800|U01A811000000|U01A100000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R061,순차입금/총차입금,안정성,U01A111050000|U01A811027400|U01A811012800|U01A811026700|U01A811000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R063,유보율,안정성,U01A611000000|U01A615000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,핵심
R064,이익잉여금/총자산,안정성,U01A100000000|U01A615000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R065,이익잉여금/자기자본,안정성,U01A600000000|U01A615000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R067,자본금/총자산,안정성,U01A611000000|U01A100000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
