거래소코드,year,시장
093370,2019,KOSPI
093370,2024,KOSPI
094280,2024,KOSPI
094480,2024,KOSDAQ
094840,2023,KOSDAQ
094850,2024,KOSDAQ
094860,2015,KOSDAQ
094860,2018,KOSDAQ
094970,2024,KOSDAQ
095300,2009,KOSDAQ
095340,2021,KOSDAQ
095610,2024,KOSDAQ
095910,2024,KOSDAQ
096350,2024,KOSDAQ
096630,2017,KOSDAQ
096630,2023,KOSDAQ
096690,2024,KOSDAQ
096760,2022,KOSPI
098120,2009,KOSDAQ
098120,2011,KOSDAQ
098400,2008,KOSDAQ
099320,2024,KOSDAQ
099520,2017,KOSDAQ
099520,2024,KOSDAQ
099750,2019,KOSDAQ
099750,2024,KOSDAQ
100030,2018,KOSDAQ
100030,2024,KOSDAQ
100090,2018,KOSPI
100090,2024,KOSPI
100120,2011,KOSDAQ
100120,2024,KOSDAQ
100590,2019,KOSDAQ
100590,2024,KOSDAQ
101140,2019,KOSPI
101400,2024,KOSDAQ
101490,2024,KOSDAQ
101670,2024,KOSDAQ
102710,2017,KOSDAQ
102710,2024,KOSDAQ
102950,2024,KONEX
104040,2015,KOSDAQ
104040,2019,KOSDAQ
104460,2019,KOSDAQ
104620,2024,KOSDAQ
104700,2024,KOSPI
104830,2022,KOSDAQ
104830,2024,KOSDAQ
105550,2018,KOSDAQ
105630,2024,KOSPI
105760,2024,KOSDAQ
105840,2024,KOSPI
106240,2020,KOSDAQ
106520,2024,KOSDAQ
107640,2019,KOSDAQ
108230,2019,KOSDAQ
108230,2024,KOSDAQ
108380,2024,KOSDAQ
108670,2023,KOSPI
109610,2015,KOSDAQ
109610,2024,KOSDAQ
109670,2024,KOSDAQ
109740,2011,KOSDAQ
109740,2024,KOSDAQ
109860,2024,KOSDAQ
110790,2024,KOSDAQ
110990,2024,KOSDAQ
111870,2024,KOSDAQ
112240,2011,KOSDAQ
112240,2019,KOSDAQ
114120,2022,KOSDAQ
114190,2011,KOSDAQ
114810,2013,KOSDAQ
114810,2015,KOSDAQ
114810,2019,KOSDAQ
114840,2024,KOSDAQ
115160,2021,KOSDAQ
115310,2024,KOSDAQ
115450,2024,KOSDAQ
115960,2022,KOSDAQ
117670,2020,KOSDAQ
119500,2024,KOSDAQ
119830,2024,KOSDAQ
120240,2011,KOSDAQ
120240,2024,KOSDAQ
121060,2024,KONEX
121600,2024,KOSDAQ
121800,2018,KOSDAQ
122350,2024,KOSDAQ
122450,2015,KOSDAQ
122640,2017,KOSDAQ
122640,2024,KOSDAQ
122900,2011,KOSPI
122900,2014,KOSPI
122900,2019,KOSPI
123040,2011,KOSDAQ
123040,2017,KOSDAQ
123040,2022,KOSDAQ
123260,2018,KOSDAQ
123330,2024,KOSDAQ
123410,2024,KOSDAQ
123570,2018,KOSDAQ
123570,2024,KOSDAQ
123840,2024,KOSDAQ
123890,2016,KOSPI
123890,2017,KOSPI
123890,2018,KOSPI
123890,2019,KOSPI
123890,2020,KOSPI
123890,2021,KOSPI
123890,2022,KOSPI
123890,2023,KOSPI
123890,2024,KOSPI
124500,2015,KOSDAQ
124500,2024,KOSDAQ
124560,2024,KOSDAQ
126600,2011,KOSDAQ
126600,2024,KOSDAQ
126640,2011,KOSDAQ
126640,2017,KOSDAQ
126640,2019,KOSDAQ
126640,2024,KOSDAQ
126720,2024,KOSPI
126730,2024,KOSDAQ
126870,2018,KOSDAQ
126880,2011,KOSDAQ
127710,2023,KOSDAQ
127980,2022,KOSDAQ
128540,2020,KOSDAQ
128660,2024,KOSDAQ
128820,2024,KOSPI
129890,2024,KOSDAQ
130500,2015,KOSDAQ
130500,2024,KOSDAQ
131030,2024,KOSDAQ
131090,2024,KOSDAQ
131290,2024,KOSDAQ
131400,2011,KOSDAQ
131400,2024,KOSDAQ
134580,2023,KOSDAQ
134780,2017,KOSDAQ
134780,2019,KOSDAQ
136490,2024,KOSPI
136540,2024,KOSDAQ
137080,2024,KOSDAQ
137950,2012,KOSDAQ
138040,2022,KOSPI
138080,2015,KOSDAQ
138080,2024,KOSDAQ
138490,2024,KOSPI
138580,2023,KOSDAQ
138930,2016,KOSPI
139050,2020,KOSDAQ
139130,2021,KOSPI
139130,2024,KOSPI
139480,2023,KOSPI
140070,2019,KOSDAQ
140070,2024,KOSDAQ
140290,2020,KOSDAQ
140290,2022,KOSDAQ
140430,2024,KOSDAQ
140670,2024,KOSDAQ
141080,2024,KOSDAQ
142210,2015,KOSDAQ
142210,2020,KOSDAQ
142210,2024,KOSDAQ
142280,2017,KOSDAQ
143210,2017,KOSPI
143210,2022,KOSPI
146060,2024,KOSDAQ
146320,2024,KOSDAQ
147830,2024,KOSDAQ
149950,2024,KOSDAQ
149980,2015,KOSDAQ
150440,2022,KOSDAQ
155650,2024,KOSDAQ
158310,2021,KOSDAQ
158430,2019,KOSDAQ
159910,2020,KOSDAQ
160350,2014,KOSDAQ
160600,2015,KOSDAQ
161580,2024,KOSDAQ
161890,2023,KOSPI
162120,2024,KONEX
163280,2024,KOSDAQ
163560,2024,KOSPI
163730,2024,KOSDAQ
166090,2024,KOSDAQ
169330,2024,KOSDAQ
170030,2024,KOSDAQ
171010,2013,KOSDAQ
171010,2019,KOSDAQ
171010,2024,KOSDAQ
171090,2019,KOSDAQ
172670,2024,KOSDAQ
173940,2023,KOSDAQ
174880,2017,KOSDAQ
174880,2024,KOSDAQ
175140,2024,KOSDAQ
175330,2024,KOSPI
