거래소코드,시장,산업코드,산업명,업종코드,회사명,stage00_01_context_source
126870,KOSDAQ,,,,(주)뉴로스,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
045240,KOSDAQ,,,,(주)뉴씨앤씨,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
054650,KOSDAQ,,,,(주)뉴젠비아이티,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
054150,KOSDAQ,,,,(주)뉴젠아이씨티,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
036280,KOSDAQ,,,,(주)뉴켐진스템셀,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
204690,KOSDAQ,,,,(주)다린,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
037200,KOSDAQ,,,,(주)다산씨앤드아이,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
271850,KOSDAQ,,,,(주)다이오진,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
055250,KOSDAQ,,,,(주)다휘,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
085990,KOSDAQ,,,,(주)단성일렉트론,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
037640,KOSDAQ,,,,(주)대경테크노스,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
042340,KOSDAQ,,,,(주)대국,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
007090,KOSDAQ,,,,(주)대동상호신용금고,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
026970,KOSDAQ,,,,(주)대백상호저축은행,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
027700,KOSDAQ,,,,(주)대백쇼핑,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
040180,KOSDAQ,,,,(주)대양글로벌,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
311840,KOSDAQ,,,,(주)대원모방,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
290380,KOSDAQ,,,,(주)대유,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
006300,KOSDAQ,,,,(주)대전상호신용금고,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
041500,KOSDAQ,,,,(주)대한바이오링크,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
161570,KOSDAQ,,,,(주)더미동,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
045380,KOSDAQ,,,,(주)더존디지털웨어,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
054120,KOSDAQ,,,,(주)더체인지,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
348840,KOSDAQ,,,,(주)데이드림엔터테인먼트,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
013650,KOSDAQ,,,,(주)데코,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
